f0, f1
string, string
, 
A, Y
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, Y
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, Y
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, Y
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, Y
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, Y
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, Y
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, Y
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, Y
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, Y
A, X
A, X
A, X
A, X
A, Y
