reset,address,consumption,gym,timestamp,multiStepPredictions.actual,multiStepPredictions.1,multiStepPredictions.5,multiStepBucketLikelihoods.1,multiStepBucketLikelihoods.5,multiStepBestPredictions.actual,multiStepBestPredictions.1,multiStepBestPredictions.5,anomalyScore,anomalyLabel,multiStepBestPredictions:multiStep:errorMetric='aae':steps=1:window=1000:field=consumption,prediction:trivial:errorMetric='aae':steps=5:window=1000:field=consumption,multiStepBestPredictions:multiStep:errorMetric='aae':steps=5:window=1000:field=consumption,prediction:trivial:errorMetric='aae':steps=1:window=1000:field=consumption
int,string,string,string,string,string,string,string,string,string,string,string,string,string,string,float,float,float,float
R,,,,,,,,,,,,,,,,,,
1,Shop 67 197-215 Condamine Street Balgowlah 2093,21.2,Balgowlah Platinum,2010-07-02 00:00:00,21.2,None,None,None,None,21.2,None,None,0.5,[],0,None,0,None
0,Shop 67 197-215 Condamine Street Balgowlah 2093,16.4,Balgowlah Platinum,2010-07-02 01:00:00,16.4,{21.2: 1.0},None,{0: 1.0},None,16.4,21.2,None,0.5,[],4.8,None,0,4.8
0,Shop 67 197-215 Condamine Street Balgowlah 2093,4.7,Balgowlah Platinum,2010-07-02 02:00:00,4.7,{21.2: 1.0},None,{65: 1.0},None,4.7,21.2,None,0.5,[],10.65,None,0,8.25
0,Shop 67 197-215 Condamine Street Balgowlah 2093,4.7,Balgowlah Platinum,2010-07-02 03:00:00,4.7,{19.759999999999998: 1.0},None,{68: 1.0},None,4.7,19.76,None,0.5,[],12.12,None,0,5.5
0,Shop 67 197-215 Condamine Street Balgowlah 2093,4.6,Balgowlah Platinum,2010-07-02 04:00:00,4.6,{15.241999999999997: 1.0},None,{48: 1.0},None,4.6,15.242,None,0.5,[],11.7505,None,0,4.15
0,Shop 67 197-215 Condamine Street Balgowlah 2093,23.5,Balgowlah Platinum,2010-07-02 05:00:00,23.5,{12.079399999999998: 1.0},{21.2: 1.0},{34: 1.0},{0: 1.0},23.5,12.0794,21.2,0.5,[],11.68452,2.3,2.3,7.1
0,Shop 67 197-215 Condamine Street Balgowlah 2093,47.5,Balgowlah Platinum,2010-07-02 06:00:00,47.5,{9.835579999999997: 1.0},{21.2: 1.0},{22: 1.0},{65: 1.0},47.5,9.83558,21.2,0.5,[],16.0145033333,16.7,14.3,9.91666666667
0,Shop 67 197-215 Condamine Street Balgowlah 2093,45.4,Balgowlah Platinum,2010-07-02 07:00:00,45.4,{23.5: 0.20004000400020003	 9.835579999999997: 0.79995999599979994},{19.759999999999998: 1.0},{10: 0.79995999599979994	 35: 0.20004000400020003},{68: 1.0},45.4,9.83558,19.76,0.5,[],18.8073485714,24.7,18.08,8.8
