gym,timestamp,consumption,MAX
string,datetime,float,float
S,T,,
Mosman,2010-07-02 00:00:00.0,2700.8,57.2
Mosman,2010-07-03 00:00:00.0,2532.78,
Mosman,2010-07-04 00:00:00.0,2434.52,60.8
Mosman,2010-07-05 00:00:00.0,2747.53,57.2
Mosman,2010-07-06 00:00:00.0,2882.8,62.6
Mosman,2010-07-07 00:00:00.0,2897.69,
Mosman,2010-07-08 00:00:00.0,2915.33,
Mosman,2010-07-09 00:00:00.0,2919.19,61.2
Mosman,2010-07-10 00:00:00.0,2710.37,65.1
Mosman,2010-07-11 00:00:00.0,2689.81,68.0
Mosman,2010-07-12 00:00:00.0,,
Mosman,2010-07-13 00:00:00.0,3138.96,
Mosman,2010-07-14 00:00:00.0,3047.61,65.8
Mosman,2010-07-15 00:00:00.0,2845.89,62.6
Mosman,2010-07-30 00:00:00.0,3145.1,72.9
Mosman,2010-07-31 00:00:00.0,3002.64,70.7
Mosman,2010-08-01 00:00:00.0,2763.14,70.7
Mosman,2010-08-02 00:00:00.0,2845.22,60.8
Mosman,2010-08-03 00:00:00.0,2849.22,60.3
Mosman,2010-08-04 00:00:00.0,2954.43,66.4
Mosman,2010-08-05 00:00:00.0,2845.7,63.1
Mosman,2010-08-06 00:00:00.0,,59.0
Mosman,2010-08-07 00:00:00.0,2565.75,57.6
Mosman,2010-08-08 00:00:00.0,2522.64,63.5
Mosman,2010-08-09 00:00:00.0,3060.93,64.8
Mosman,2010-08-10 00:00:00.0,3125.92,63.0
Mosman,2010-08-11 00:00:00.0,3081.24,
Mosman,2010-08-12 00:00:00.0,2815.1,
Mosman,2010-08-13 00:00:00.0,,
Mosman,2010-08-14 00:00:00.0,2579.66,
Mosman,2010-08-15 00:00:00.0,2666.71,
Mosman,2010-08-16 00:00:00.0,3030.66,
Mosman,2010-08-17 00:00:00.0,2879.17,
Mosman,2010-08-18 00:00:00.0,3020.58,69.8
Mosman,2010-08-19 00:00:00.0,3182.94,77.7
Mosman,2010-08-20 00:00:00.0,3034.85,68.0
Mosman,2010-08-21 00:00:00.0,2620.96,62.8
Mosman,2010-08-22 00:00:00.0,2520.25,63.3
Mosman,2010-08-23 00:00:00.0,2865.54,61.0
Mosman,2010-08-24 00:00:00.0,2950.88,68.5
Mosman,2010-08-25 00:00:00.0,2969.13,65.8
Mosman,2010-08-26 00:00:00.0,2822.7,63.9
Mosman,2010-08-27 00:00:00.0,,69.1
Mosman,2010-08-28 00:00:00.0,2602.88,59.7
Mosman,2010-08-29 00:00:00.0,,63.3
Mosman,2010-08-30 00:00:00.0,2969.66,64.0
Mosman,2010-08-31 00:00:00.0,3107.55,
Mosman,2010-09-01 00:00:00.0,3206.65,
Mosman,2010-09-02 00:00:00.0,,69.1
Mosman,2010-09-03 00:00:00.0,3112.93,
Mosman,2010-09-04 00:00:00.0,2989.66,70.2
Mosman,2010-09-05 00:00:00.0,2693.91,71.8
Mosman,2010-09-06 00:00:00.0,3095.53,
Mosman,2010-09-07 00:00:00.0,,59.7
Mosman,2010-09-08 00:00:00.0,2951.0,61.3
Mosman,2010-09-09 00:00:00.0,3025.85,68.0
Mosman,2010-09-24 00:00:00.0,3188.13,
Mosman,2010-09-25 00:00:00.0,2911.24,80.6
Mosman,2010-09-26 00:00:00.0,2762.59,
Mosman,2010-09-27 00:00:00.0,,
Mosman,2010-09-28 00:00:00.0,3242.93,82.8
Mosman,2010-09-29 00:00:00.0,3017.46,63.3
Mosman,2010-09-30 00:00:00.0,2850.13,63.9
Mosman,2010-10-01 00:00:00.0,2791.19,66.2
Mosman,2010-10-02 00:00:00.0,2919.07,68.5
Mosman,2010-10-03 00:00:00.0,2602.33,68.4
Mosman,2010-10-04 00:00:00.0,2918.24,71.1
Mosman,2010-10-05 00:00:00.0,3328.53,73.4
Mosman,2010-10-06 00:00:00.0,3350.66,72.3
Mosman,2010-10-07 00:00:00.0,3100.37,72.3
Mosman,2010-10-08 00:00:00.0,,68.0
Mosman,2010-10-09 00:00:00.0,2764.28,
Mosman,2010-10-10 00:00:00.0,,71.1
Mosman,2010-10-11 00:00:00.0,3289.73,73.4
Mosman,2010-10-12 00:00:00.0,3369.35,74.5
Mosman,2010-10-13 00:00:00.0,3551.76,79.2
Mosman,2010-10-14 00:00:00.0,3621.62,80.8
Mosman,2010-10-15 00:00:00.0,3550.54,
Mosman,2010-10-16 00:00:00.0,2803.46,68.2
Mosman,2010-10-17 00:00:00.0,2752.65,
Mosman,2010-10-18 00:00:00.0,3274.73,
Mosman,2010-10-19 00:00:00.0,3115.71,68.0
Mosman,2010-10-20 00:00:00.0,3080.23,71.6
Mosman,2010-10-21 00:00:00.0,3106.04,74.1
Mosman,2010-10-22 00:00:00.0,3188.71,
Mosman,2010-10-23 00:00:00.0,3019.29,87.1
Mosman,2010-10-24 00:00:00.0,2673.55,64.0
Mosman,2010-10-25 00:00:00.0,3017.94,69.8
Mosman,2010-10-26 00:00:00.0,,80.6
Mosman,2010-10-27 00:00:00.0,3217.2,69.3
Mosman,2010-10-28 00:00:00.0,3114.24,69.1
Mosman,2010-10-29 00:00:00.0,3102.39,75.2
Mosman,2010-10-30 00:00:00.0,2975.72,79.3
Mosman,2010-10-31 00:00:00.0,2923.63,
Mosman,2010-11-01 00:00:00.0,3187.24,
Mosman,2010-11-02 00:00:00.0,2929.71,68.0
Mosman,2010-11-03 00:00:00.0,3054.03,72.7
Mosman,2010-11-04 00:00:00.0,,64.0
Mosman,2010-11-05 00:00:00.0,2929.09,64.8
Mosman,2010-11-06 00:00:00.0,2850.72,68.0
Mosman,2010-11-07 00:00:00.0,,
Mosman,2010-11-08 00:00:00.0,3326.47,82.2
Mosman,2010-11-09 00:00:00.0,3398.97,75.2
Mosman,2010-11-10 00:00:00.0,3428.24,82.2
Mosman,2010-11-11 00:00:00.0,3495.07,
Mosman,2010-11-12 00:00:00.0,3348.66,87.8
Mosman,2010-11-13 00:00:00.0,3176.53,90.1
Mosman,2010-11-14 00:00:00.0,3150.72,90.5
Mosman,2010-11-15 00:00:00.0,,75.0
Mosman,2010-11-16 00:00:00.0,,
Mosman,2010-11-17 00:00:00.0,3256.65,
Mosman,2010-11-18 00:00:00.0,3314.17,77.5
Mosman,2010-11-19 00:00:00.0,3055.02,71.2
Mosman,2010-11-20 00:00:00.0,2934.32,73.4
Mosman,2010-11-21 00:00:00.0,2891.3,76.5
Mosman,2010-11-22 00:00:00.0,3398.82,78.4
Mosman,2010-11-23 00:00:00.0,3574.55,80.2
Mosman,2010-11-24 00:00:00.0,3557.58,78.8
Mosman,2010-11-25 00:00:00.0,3504.52,
Mosman,2010-11-26 00:00:00.0,3464.59,
Mosman,2010-11-27 00:00:00.0,3250.67,82.9
Mosman,2010-11-28 00:00:00.0,3069.21,78.4
Mosman,2010-11-29 00:00:00.0,3272.85,70.0
Mosman,2010-11-30 00:00:00.0,3380.76,
Mosman,2010-12-01 00:00:00.0,3412.54,71.6
Mosman,2010-12-02 00:00:00.0,3416.23,
Mosman,2010-12-03 00:00:00.0,3557.76,
