field1,field2
int,int
,
82,85
0,0
40,39
36,36
8,9
78,75
22,22
77,76
14,14
89,92
48,45
98,100
32,30
7,6
91,87
81,81
73,73
59,59
97,98
93,93
41,45
27,32
28,24
48,47
77,75
43,48
93,93
68,69
36,37
66,66
40,42
13,16
77,77
59,63
7,8
70,70
79,79
57,61
47,47
3,3
66,68
19,19
47,47
48,50
31,30
10,10
3,0
76,76
76,76
98,99
45,45
20,18
58,58
1,1
25,25
73,73
100,100
80,78
5,6
96,98
14,15
48,54
45,51
66,65
20,25
23,20
64,62
35,35
38,38
71,71
21,23
12,12
82,89
45,42
39,40
53,53
79,79
93,92
53,56
69,68
66,66
47,45
83,83
55,60
91,91
29,27
96,99
72,67
94,91
35,34
47,48
28,28
69,69
10,10
8,4
60,60
87,89
8,8
11,9
3,4
55,47
30,26
95,97
8,8
47,49
77,80
59,59
7,6
79,82
60,61
88,92
46,44
57,57
67,69
33,35
78,78
43,43
68,68
57,57
19,24
16,22
44,36
90,91
84,82
94,94
67,67
65,65
59,64
69,70
80,79
22,25
27,22
69,71
45,39
69,68
88,82
42,44
48,48
68,68
26,22
86,85
26,23
94,97
38,34
60,60
94,96
13,11
20,17
100,102
70,67
42,39
16,20
41,42
81,75
77,74
96,96
99,101
1,-5
85,87
25,27
24,22
95,93
98,96
49,46
65,65
31,30
68,67
37,38
58,51
32,32
74,71
40,40
30,32
74,71
6,9
95,97
71,69
79,72
14,12
74,70
100,102
28,28
16,15
63,64
20,23
16,12
75,69
64,64
14,12
0,2
40,40
86,82
94,90
64,66
19,23
100,101
55,54
73,71
39,40
68,65
79,79
96,96
3,11
35,36
82,84
55,52
10,8
53,50
15,15
4,3
2,-2
53,52
37,37
6,3
69,75
90,90
52,55
58,58
86,84
98,99
15,13
76,74
8,9
28,31
13,14
27,24
14,12
66,61
4,3
65,65
0,2
99,99
78,77
53,53
94,95
28,23
17,23
29,24
10,12
9,15
21,20
47,47
90,91
49,56
51,51
69,67
91,88
24,30
68,67
36,40
5,8
99,100
10,11
21,21
39,37
11,9
43,43
7,4
59,64
28,25
6,9
11,9
31,27
49,52
36,45
39,42
56,57
81,81
94,91
65,67
3,5
79,80
83,80
41,41
36,38
72,69
72,71
75,74
5,5
19,19
48,40
50,52
58,58
18,15
34,36
85,86
88,85
34,44
92,96
16,18
83,76
99,102
44,41
13,13
22,23
59,60
13,14
37,37
66,63
97,97
70,67
59,58
77,80
59,60
41,43
43,42
92,92
6,3
51,52
40,35
99,94
3,0
49,54
15,21
69,72
96,95
31,30
22,22
100,98
2,1
5,5
55,52
31,31
63,65
99,99
72,78
89,96
70,71
52,55
19,19
58,61
39,41
34,31
77,71
73,72
19,14
23,20
36,31
95,89
11,9
74,74
64,64
80,79
30,32
16,14
100,97
10,12
59,58
84,80
34,36
59,60
30,29
37,33
40,40
19,19
50,51
100,97
6,4
61,61
47,45
73,71
84,86
58,55
31,32
27,24
55,54
98,98
4,2
13,15
25,29
99,99
1,1
53,53
96,100
47,50
23,21
96,97
54,60
70,69
11,13
61,61
1,-1
1,1
84,84
98,94
85,85
77,74
7,7
60,60
82,86
16,16
45,44
74,70
57,57
9,13
61,60
29,32
45,45
8,7
11,14
56,56
49,49
38,40
71,68
49,49
27,31
32,32
88,88
35,33
50,55
97,95
83,81
65,65
87,84
56,55
81,84
24,26
8,3
32,30
85,85
69,64
68,71
100,99
14,13
64,63
63,60
51,51
30,30
71,71
64,64
8,9
38,37
12,12
67,70
85,86
93,94
91,89
67,67
32,35
51,52
51,52
99,94
91,95
33,33
92,87
62,62
89,92
38,37
65,70
94,95
4,0
42,42
67,63
78,83
91,91
65,63
22,17
60,61
49,49
59,62
92,91
16,16
37,30
21,19
86,87
73,71
94,94
64,66
2,2
52,52
36,37
33,31
21,23
69,70
24,24
6,8
85,84
74,77
53,50
64,65
17,17
77,78
95,95
39,37
35,35
79,76
28,27
67,67
0,0
34,35
39,39
61,62
6,4
0,-1
34,37
4,4
35,39
81,79
75,77
2,4
83,87
65,63
31,29
42,41
0,-2
23,24
21,20
60,60
72,76
58,55
18,18
90,90
79,77
45,42
47,43
77,81
95,96
13,15
5,5
76,78
98,98
61,63
70,70
70,72
33,33
27,28
80,83
89,92
95,95
72,72
92,91
14,16
5,8
95,95
55,54
27,25
75,80
98,97
43,45
5,5
74,74
80,82
73,73
45,46
37,35
56,55
53,53
47,42
97,97
70,68
41,42
26,25
32,32
78,78
48,47
68,70
8,5
100,103
43,46
82,82
9,9
70,69
90,93
1,1
8,9
57,57
56,54
17,18
92,91
60,60
29,29
32,25
99,98
90,91
32,34
28,25
59,59
71,73
5,9
44,46
23,25
39,40
24,21
52,56
23,21
43,45
18,18
91,94
21,22
89,91
63,59
15,15
16,17
83,86
16,19
21,14
61,55
36,36
1,2
53,51
61,61
82,81
20,19
11,11
6,6
60,63
15,15
98,98
92,89
61,66
3,-2
89,85
24,26
97,93
52,50
86,87
99,100
23,31
97,99
87,87
68,70
28,30
43,43
35,42
66,69
26,28
27,20
65,68
16,16
29,23
10,11
50,50
62,59
40,42
94,92
37,42
44,47
41,41
29,26
6,10
65,65
66,63
9,11
84,81
92,89
42,38
75,77
24,30
17,17
96,100
27,25
97,97
68,72
81,80
72,72
17,17
85,83
49,50
17,18
100,101
46,44
61,63
37,38
47,49
19,18
10,10
58,55
22,26
54,53
12,11
45,44
35,33
12,12
92,90
89,88
78,81
44,44
16,13
9,11
33,31
72,76
20,18
5,1
91,92
50,49
19,17
12,14
23,23
31,31
37,37
22,22
98,100
4,4
22,24
25,27
64,64
96,98
88,86
11,13
62,60
84,84
91,91
82,83
31,27
100,99
52,52
46,49
82,83
74,73
82,81
65,65
1,-5
5,4
15,15
32,31
52,53
98,100
9,7
21,15
37,41
83,83
93,94
18,23
73,79
9,9
23,21
43,41
1,1
13,14
80,82
39,40
12,12
33,32
79,81
95,95
68,68
69,73
97,98
34,34
2,6
28,26
64,65
85,86
33,33
63,58
68,67
5,5
54,54
85,92
98,98
7,9
41,41
14,10
69,72
77,79
24,20
86,86
85,85
56,56
62,64
78,74
34,34
41,39
31,26
35,34
59,55
39,41
52,51
85,91
68,70
54,55
2,-2
45,42
19,21
30,26
90,93
5,7
48,47
94,90
1,-1
66,64
93,93
84,84
94,94
52,52
85,81
20,20
46,44
13,13
23,26
71,71
0,-1
20,18
16,13
46,47
86,90
96,96
100,98
73,72
17,23
71,69
7,7
85,84
36,34
50,49
80,81
29,23
82,82
20,18
48,47
10,11
45,45
13,12
81,79
35,34
100,104
1,-5
18,16
11,11
35,31
89,88
60,61
62,58
72,74
62,63
92,88
1,-1
24,24
85,78
74,73
33,35
94,92
42,47
64,66
96,93
6,7
73,74
61,57
21,17
53,52
25,25
62,62
88,89
41,39
83,85
17,19
74,75
39,40
34,35
29,29
27,27
84,86
90,93
72,73
20,21
80,70
78,81
53,50
8,9
83,85
22,18
89,89
94,93
52,48
85,84
0,3
80,85
2,2
50,51
66,64
30,30
47,48
97,94
33,32
47,46
95,98
85,84
66,67
58,58
18,20
61,59
65,65
55,52
65,69
69,71
66,67
43,39
42,43
70,69
75,75
22,28
16,16
47,45
67,65
33,33
4,4
72,72
6,9
92,90
6,6
83,83
7,7
42,39
14,17
16,12
42,42
10,16
