Sine,angle
float,float
,
0.000,0.000
0.114,0.114
0.226,0.228
0.336,0.343
0.441,0.457
0.541,0.571
0.633,0.685
0.717,0.800
0.792,0.914
0.856,1.028
0.910,1.142
0.951,1.257
0.980,1.371
0.996,1.485
1.000,1.599
0.990,1.714
0.967,1.828
0.932,1.942
0.884,2.056
0.825,2.171
0.756,2.285
0.676,2.399
0.588,2.513
0.492,2.628
0.389,2.742
0.282,2.856
0.171,2.970
0.057,3.084
-0.057,3.199
-0.171,3.313
-0.282,3.427
-0.389,3.541
-0.492,3.656
-0.588,3.770
-0.676,3.884
-0.756,3.998
-0.825,4.113
-0.884,4.227
-0.932,4.341
-0.967,4.455
-0.990,4.570
-1.000,4.684
-0.996,4.798
-0.980,4.912
-0.951,5.027
-0.910,5.141
-0.856,5.255
-0.792,5.369
-0.717,5.484
-0.633,5.598
-0.541,5.712
-0.441,5.826
-0.336,5.940
-0.226,6.055
-0.114,6.169
0.000,6.283
0.114,6.397
0.226,6.512
0.336,6.626
0.441,6.740
0.541,6.854
0.633,6.969
0.717,7.083
0.792,7.197
0.856,7.311
0.910,7.426
0.951,7.540
0.980,7.654
0.996,7.768
1.000,7.883
0.990,7.997
0.967,8.111
0.932,8.225
0.884,8.340
0.825,8.454
0.756,8.568
0.676,8.682
0.588,8.796
0.492,8.911
0.389,9.025
0.282,9.139
0.171,9.253
0.057,9.368
-0.057,9.482
-0.171,9.596
-0.282,9.710
-0.389,9.825
-0.492,9.939
-0.588,10.053
-0.676,10.167
-0.756,10.282
-0.825,10.396
-0.884,10.510
-0.932,10.624
-0.967,10.739
-0.990,10.853
-1.000,10.967
-0.996,11.081
-0.980,11.195
-0.951,11.310
-0.910,11.424
-0.856,11.538
-0.792,11.652
-0.717,11.767
-0.633,11.881
-0.541,11.995
-0.441,12.109
-0.336,12.224
-0.226,12.338
-0.114,12.452
0.000,12.566
0.114,12.681
0.226,12.795
0.336,12.909
0.441,13.023
0.541,13.138
0.633,13.252
0.717,13.366
0.792,13.480
0.856,13.595
0.910,13.709
0.951,13.823
0.980,13.937
0.996,14.051
1.000,14.166
0.990,14.280
0.967,14.394
0.932,14.508
0.884,14.623
0.825,14.737
0.756,14.851
0.676,14.965
0.588,15.080
0.492,15.194
0.389,15.308
0.282,15.422
0.171,15.537
0.057,15.651
-0.057,15.765
-0.171,15.879
-0.282,15.994
-0.389,16.108
-0.492,16.222
-0.588,16.336
-0.676,16.451
-0.756,16.565
-0.825,16.679
-0.884,16.793
-0.932,16.907
-0.967,17.022
-0.990,17.136
-1.000,17.250
-0.996,17.364
-0.980,17.479
-0.951,17.593
-0.910,17.707
-0.856,17.821
-0.792,17.936
-0.717,18.050
-0.633,18.164
-0.541,18.278
-0.441,18.393
-0.336,18.507
-0.226,18.621
-0.114,18.735
0.000,18.850
0.114,18.964
0.226,19.078
0.336,19.192
0.441,19.307
0.541,19.421
0.633,19.535
0.717,19.649
0.792,19.763
0.856,19.878
0.910,19.992
0.951,20.106
0.980,20.220
0.996,20.335
1.000,20.449
0.990,20.563
0.967,20.677
0.932,20.792
0.884,20.906
0.825,21.020
0.756,21.134
0.676,21.249
0.588,21.363
0.492,21.477
0.389,21.591
0.282,21.706
0.171,21.820
0.057,21.934
-0.057,22.048
-0.171,22.163
-0.282,22.277
-0.389,22.391
-0.492,22.505
-0.588,22.619
-0.676,22.734
-0.756,22.848
-0.825,22.962
-0.884,23.076
-0.932,23.191
-0.967,23.305
-0.990,23.419
-1.000,23.533
-0.996,23.648
-0.980,23.762
-0.951,23.876
-0.910,23.990
-0.856,24.105
-0.792,24.219
-0.717,24.333
-0.633,24.447
-0.541,24.562
-0.441,24.676
-0.336,24.790
-0.226,24.904
-0.114,25.019
0.000,25.133
0.114,25.247
0.226,25.361
0.336,25.475
0.441,25.590
0.541,25.704
0.633,25.818
0.717,25.932
0.792,26.047
0.856,26.161
0.910,26.275
0.951,26.389
0.980,26.504
0.996,26.618
1.000,26.732
0.990,26.846
0.967,26.961
0.932,27.075
0.884,27.189
0.825,27.303
0.756,27.418
0.676,27.532
0.588,27.646
0.492,27.760
0.389,27.874
0.282,27.989
0.171,28.103
0.057,28.217
-0.057,28.331
-0.171,28.446
-0.282,28.560
-0.389,28.674
-0.492,28.788
-0.588,28.903
-0.676,29.017
-0.756,29.131
-0.825,29.245
-0.884,29.360
-0.932,29.474
-0.967,29.588
-0.990,29.702
-1.000,29.817
-0.996,29.931
-0.980,30.045
-0.951,30.159
-0.910,30.274
-0.856,30.388
-0.792,30.502
-0.717,30.616
-0.633,30.730
-0.541,30.845
-0.441,30.959
-0.336,31.073
-0.226,31.187
-0.114,31.302
0.000,31.416
0.114,31.530
0.226,31.644
0.336,31.759
0.441,31.873
0.541,31.987
0.633,32.101
0.717,32.216
0.792,32.330
0.856,32.444
0.910,32.558
0.951,32.673
0.980,32.787
0.996,32.901
1.000,33.015
0.990,33.130
0.967,33.244
0.932,33.358
0.884,33.472
0.825,33.586
0.756,33.701
0.676,33.815
0.588,33.929
0.492,34.043
0.389,34.158
0.282,34.272
0.171,34.386
0.057,34.500
-0.057,34.615
-0.171,34.729
-0.282,34.843
-0.389,34.957
-0.492,35.072
-0.588,35.186
-0.676,35.300
-0.756,35.414
-0.825,35.529
-0.884,35.643
-0.932,35.757
-0.967,35.871
-0.990,35.986
-1.000,36.100
-0.996,36.214
-0.980,36.328
-0.951,36.442
-0.910,36.557
-0.856,36.671
-0.792,36.785
-0.717,36.899
-0.633,37.014
-0.541,37.128
-0.441,37.242
-0.336,37.356
-0.226,37.471
-0.114,37.585
0.000,37.699
0.114,37.813
0.226,37.928
0.336,38.042
0.441,38.156
0.541,38.270
0.633,38.385
0.717,38.499
0.792,38.613
0.856,38.727
0.910,38.842
0.951,38.956
0.980,39.070
0.996,39.184
1.000,39.298
0.990,39.413
0.967,39.527
0.932,39.641
0.884,39.755
0.825,39.870
0.756,39.984
0.676,40.098
0.588,40.212
0.492,40.327
0.389,40.441
0.282,40.555
0.171,40.669
0.057,40.784
-0.057,40.898
-0.171,41.012
-0.282,41.126
-0.389,41.241
-0.492,41.355
-0.588,41.469
-0.676,41.583
-0.756,41.698
-0.825,41.812
-0.884,41.926
-0.932,42.040
-0.967,42.154
-0.990,42.269
-1.000,42.383
-0.996,42.497
-0.980,42.611
-0.951,42.726
-0.910,42.840
-0.856,42.954
-0.792,43.068
-0.717,43.183
-0.633,43.297
-0.541,43.411
-0.441,43.525
-0.336,43.640
-0.226,43.754
-0.114,43.868
0.000,43.982
0.114,44.097
0.226,44.211
0.336,44.325
0.441,44.439
0.541,44.553
0.633,44.668
0.717,44.782
0.792,44.896
0.856,45.010
0.910,45.125
0.951,45.239
0.980,45.353
0.996,45.467
1.000,45.582
0.990,45.696
0.967,45.810
0.932,45.924
0.884,46.039
0.825,46.153
0.756,46.267
0.676,46.381
0.588,46.496
0.492,46.610
0.389,46.724
0.282,46.838
0.171,46.953
0.057,47.067
-0.057,47.181
-0.171,47.295
-0.282,47.409
-0.389,47.524
-0.492,47.638
-0.588,47.752
-0.676,47.866
-0.756,47.981
-0.825,48.095
