f0, f1
string, string
, 
H, F
T, R
X, C
K, A
F, N
A, YX
Q, O
F, P
V, A
U, S
I, E
Y, I
C, YY
W, P
U, S
N, Z
J, O
V, Q
W, P
S, B
F, H
C, XX
C, XX
Q, J
J, F
G, Y
Q, P
E, XX
E, XX
Z, Q
O, R
V, U
F, A
I, G
F, Y
W, I
R, K
X, L
G, G
O, G
P, X
K, F
Z, N
C, YY
C, XX
U, K
B, XX
Z, N
Z, W
A, XX
R, N
G, Q
C, XX
L, Y
W, G
N, E
X, W
H, Q
P, D
T, O
U, N
A, XX
A, XY
W, V
H, B
W, Y
C, XX
B, XX
T, D
M, O
G, W
L, F
O, S
F, I
Z, Q
L, N
D, XX
I, P
F, F
B, XX
F, X
W, B
G, R
F, D
Y, O
M, U
U, E
C, XX
L, M
S, R
Z, C
K, I
W, G
E, XX
K, H
G, Y
L, W
O, B
Z, V
Z, Y
W, E
M, F
K, B
J, Z
G, U
L, K
Y, Z
O, S
E, XX
Z, P
O, T
B, XX
N, W
E, XY
C, YX
P, R
G, D
X, G
P, Q
K, P
N, Y
F, S
G, K
R, H
I, T
B, XX
Z, Z
B, XX
G, Y
W, W
J, E
V, S
P, Z
R, A
V, H
R, Y
D, YX
C, XX
H, P
S, F
Q, G
M, X
V, C
L, H
A, XX
Q, G
T, O
L, A
B, XX
X, O
V, P
D, YX
I, X
U, W
X, F
G, C
U, W
K, Q
E, XY
W, Z
V, W
A, XX
I, Y
U, W
V, G
U, C
W, W
F, V
L, H
U, F
A, YX
I, W
Z, H
Q, K
Z, N
Y, C
Z, E
Z, G
C, XX
S, I
P, N
K, O
G, S
A, XY
N, S
T, R
J, B
R, I
I, W
S, H
I, K
K, H
D, XX
Y, R
X, Q
H, O
A, XX
L, P
R, M
L, F
M, X
U, E
C, XX
Q, I
V, T
R, F
F, A
G, M
W, B
K, Q
F, S
M, G
R, A
T, U
C, XX
E, XY
N, B
G, W
L, U
R, Z
P, Y
X, P
S, N
V, O
X, T
M, G
G, Q
T, N
Q, H
C, XX
H, I
O, D
G, S
S, B
K, O
K, F
K, X
P, S
W, T
J, A
J, T
W, Y
K, T
O, P
F, F
L, A
I, R
K, E
M, D
Q, A
K, O
A, XX
D, XX
B, XX
F, I
T, J
T, V
G, C
A, XX
Z, J
Q, U
Q, T
Y, F
A, YX
D, XX
O, F
S, T
E, XX
T, C
V, Z
C, YY
I, R
Y, K
S, B
R, Q
C, XX
W, P
D, XY
U, J
L, J
N, I
W, V
C, XY
Q, V
S, L
T, Z
H, V
N, M
L, T
G, W
V, C
W, G
M, P
J, A
W, E
F, U
I, W
S, H
A, XY
C, XX
M, T
R, Q
M, U
C, XX
R, H
P, M
N, L
T, I
S, H
G, D
F, D
N, T
E, XX
M, S
Z, N
H, C
F, F
E, YY
N, H
Z, O
S, D
W, M
W, O
M, L
E, YY
Y, M
V, K
B, XX
B, YX
O, H
Z, D
T, P
U, F
N, L
L, W
Z, H
Q, P
T, Y
F, F
R, E
E, YY
A, XX
P, H
G, S
S, L
R, Y
U, Q
R, Y
L, O
Q, X
V, B
E, XX
T, O
H, D
R, S
Y, N
M, C
B, XX
I, G
C, XY
V, O
Y, Z
R, H
B, XX
M, Q
X, E
P, Q
M, C
J, I
R, W
I, S
H, Y
V, O
L, I
I, Z
K, N
Z, R
O, K
E, XX
T, Q
T, F
O, Y
L, S
D, XY
P, G
E, XX
O, C
Z, X
L, D
V, M
S, N
H, V
Z, G
O, J
X, N
W, W
H, U
K, Y
N, V
H, H
P, Z
M, D
O, I
O, O
L, I
E, XX
O, G
U, B
T, S
V, K
R, V
Z, M
A, XX
P, W
W, L
N, L
S, K
R, E
M, Z
I, S
Q, W
W, W
J, I
S, T
W, A
B, XX
X, Z
T, L
C, XX
W, L
S, X
B, XX
H, J
D, XX
O, U
E, YY
W, Q
G, X
D, XX
G, G
A, XX
X, R
E, XX
I, P
Q, L
G, V
F, K
M, G
O, O
Z, H
Z, R
H, O
R, T
B, XX
M, X
H, U
P, J
Q, Q
R, S
R, V
Q, X
Q, I
L, P
T, C
H, T
E, YX
O, Z
N, X
V, G
V, M
U, T
I, C
Z, D
Z, W
S, Z
Z, U
J, U
A, XX
L, R
R, P
V, Y
C, XX
A, XX
O, X
F, B
V, X
H, K
D, XY
H, M
C, XX
D, XX
R, T
Y, K
T, E
K, C
M, K
Y, A
J, L
Y, W
C, XX
O, Z
J, K
E, YX
W, L
R, Q
P, A
U, G
D, XX
B, XX
F, F
W, I
D, XY
A, XX
D, YX
G, E
R, A
A, XX
G, I
E, YY
T, N
T, M
U, N
C, XX
Y, B
U, W
N, L
Z, B
M, K
R, M
X, B
C, XX
B, XX
Q, O
I, Z
N, L
P, C
S, W
Q, T
S, F
L, F
I, L
K, C
L, R
J, D
X, B
V, C
C, XX
V, O
P, O
I, D
J, R
T, W
S, Z
P, J
P, F
R, F
C, XX
J, T
O, U
V, Z
V, P
Q, A
Y, V
G, E
S, I
I, A
W, O
K, D
Q, A
T, F
K, I
J, S
U, O
C, YY
E, XX
R, H
R, M
L, H
T, C
L, H
R, M
R, B
K, P
A, XX
F, D
G, I
A, XX
E, XX
S, N
V, U
B, XX
B, YY
X, W
O, O
S, K
C, YY
I, U
Q, V
X, C
V, G
P, N
K, I
I, I
E, XX
C, XX
X, J
S, V
V, G
D, YX
P, T
R, E
U, M
T, T
L, Y
O, Q
Q, W
Q, D
B, XX
H, H
B, XX
I, L
B, XX
B, XX
W, P
N, M
O, U
X, L
V, Q
I, M
D, YY
C, XX
I, S
N, E
G, L
L, N
E, XX
H, K
I, P
U, Q
B, YY
R, H
S, R
X, W
I, P
D, XX
Z, S
K, P
Y, I
J, U
V, R
V, T
R, N
Q, L
J, J
E, XX
Y, M
F, D
C, XX
C, XX
V, W
A, XX
T, D
J, E
V, U
V, E
L, K
R, G
L, H
T, L
N, I
V, M
V, J
Y, Z
M, H
J, N
Z, V
U, D
G, Q
W, O
C, XX
W, H
T, H
X, D
L, Y
F, L
J, A
B, XX
G, Z
J, A
Y, V
Q, U
D, XX
V, S
D, XX
L, A
C, XX
V, O
S, N
C, XX
H, B
K, U
L, C
X, P
A, XX
G, D
L, P
G, K
R, C
Z, B
N, N
Z, O
K, M
Q, Z
G, A
U, I
T, Q
U, T
I, B
O, V
E, XX
M, S
Q, V
B, XX
L, H
B, YX
B, XY
N, Z
O, G
T, E
J, U
W, I
D, XX
X, T
X, K
Z, M
M, Y
N, U
S, C
P, V
O, I
C, XX
H, P
L, R
J, B
W, J
Z, H
Z, Y
B, XX
J, U
R, Y
D, XX
U, A
B, XX
J, J
O, P
R, Y
J, T
O, N
K, Q
G, C
T, M
K, O
G, G
L, Z
H, X
M, D
W, L
X, L
C, XX
V, I
J, B
O, X
W, S
Y, Q
U, N
D, XX
D, XX
A, XX
J, U
O, P
C, XX
Z, S
N, T
V, B
Z, Q
L, R
I, W
U, Q
E, XY
L, X
B, YX
D, YX
I, S
I, Y
X, V
G, Q
O, D
H, N
N, E
Y, E
R, S
P, V
O, V
A, YY
Q, O
Q, T
K, Q
M, Q
H, Y
M, U
R, H
B, YY
L, M
F, P
I, S
T, W
Z, D
J, O
I, M
G, G
C, XX
J, P
G, W
E, XX
P, I
T, M
N, M
I, A
Y, N
Z, F
J, B
M, W
R, M
N, W
L, W
S, T
J, K
O, F
O, B
N, T
H, Z
R, D
Z, K
U, I
Y, T
F, N
N, B
D, XX
M, L
P, N
I, P
E, XY
T, H
I, V
N, S
H, V
J, R
Z, P
U, S
R, A
M, Z
U, U
P, S
P, E
Q, Q
V, D
R, A
Y, C
A, XX
D, XX
K, U
X, W
T, B
D, XX
I, R
N, I
E, XY
I, J
U, S
Q, S
P, E
G, O
F, Z
H, H
F, S
I, J
Y, U
H, D
R, J
Z, V
Y, U
H, H
S, J
L, G
M, F
O, Y
S, D
Q, P
G, R
N, Q
B, XX
S, C
U, A
O, Y
K, Y
W, M
F, Z
I, Q
X, C
O, N
S, Y
X, E
W, E
X, Z
K, M
Y, Z
Y, W
A, XX
C, XY
H, Z
O, M
Y, W
M, F
C, YX
L, G
E, XX
U, O
T, E
W, X
V, N
C, XX
E, YX
I, G
G, G
T, Y
H, S
A, XX
S, B
D, XX
K, N
X, S
I, D
X, H
P, F
D, YX
T, P
K, O
M, N
R, F
G, T
W, C
L, S
C, XX
B, XX
N, O
D, XX
N, D
F, P
C, XX
V, L
N, L
B, XX
U, S
K, V
T, P
B, XX
B, XY
Y, B
Y, A
K, T
T, Z
Q, K
Z, J
W, X
J, R
R, O
Q, J
E, XX
N, S
F, A
A, XX
R, O
N, V
G, J
H, Y
S, C
V, K
T, W
A, XX
C, YY
P, S
B, XX
K, G
F, W
B, XX
H, V
T, I
P, R
I, H
D, XX
F, H
B, XY
W, X
Q, L
M, Z
Y, R
U, I
K, D
J, T
M, W
H, S
U, X
O, Z
O, D
G, F
Q, X
W, C
S, E
G, R
P, W
E, XX
S, O
M, W
I, Y
A, XY
Z, D
Z, M
G, P
F, X
O, U
J, N
J, G
N, M
C, XY
M, V
X, J
K, O
F, D
G, Y
P, K
D, XX
J, V
M, R
R, G
V, Z
Q, M
E, XX
E, XX
M, X
O, Q
B, YY
W, Y
R, T
K, V
G, S
A, XX
J, Q
R, Q
M, M
A, XX
A, XX
H, Z
A, XX
R, U
X, C
C, YX
E, XX
V, G
K, J
K, O
Z, F
R, W
Q, W
T, C
J, O
B, YY
E, XX
L, U
O, W
C, XX
B, XX
W, X
M, B
B, XY
X, O
A, XY
I, Y
P, T
S, K
C, YX
G, V
K, X
I, T
D, XY
S, N
Z, B
L, V
I, T
Y, K
U, A
H, Z
M, J
Y, L
R, R
C, XX
U, S
C, YX
S, Q
T, I
C, YY
I, J
H, D
E, XX
O, K
A, XX
C, XX
I, K
H, K
C, XY
X, Z
O, E
J, D
H, M
B, XX
K, M
B, XX
G, Q
P, F
C, XX
Y, I
Q, U
I, I
V, W
Z, D
I, Y
F, I
Z, Z
H, S
M, O
G, J
V, K
C, XX
P, O
R, O
Y, M
S, L
H, S
V, U
K, M
Q, G
R, S
U, B
Z, M
K, N
X, R
O, U
J, X
N, Q
C, XX
R, J
Q, B
Z, R
K, T
Z, L
A, XX
N, N
P, O
L, K
U, P
N, I
A, YX
K, Z
D, XY
D, XX
L, F
M, M
L, S
I, H
V, C
W, Q
R, E
Z, G
E, YX
O, Y
G, K
E, XX
L, A
P, F
P, K
S, F
T, V
B, YX
W, E
I, L
G, W
N, Q
P, P
P, J
V, Q
V, S
H, P
C, YX
D, XX
E, XX
N, K
D, XX
E, XX
S, Q
Z, O
M, D
I, L
B, XX
A, YX
V, Z
N, M
R, K
V, M
C, YY
T, H
H, N
E, XX
T, T
O, C
C, XX
V, J
V, B
S, O
Z, C
V, T
H, Z
L, J
V, L
Z, U
G, V
P, J
S, Q
E, YX
F, F
B, XX
H, O
I, S
H, G
W, Z
R, C
Z, U
X, Z
W, D
W, G
S, V
T, R
M, P
G, K
L, Q
W, C
N, H
Y, J
Y, I
A, XX
T, T
L, R
J, B
N, F
L, F
G, V
I, P
O, M
I, R
B, YY
U, L
D, XX
L, A
Y, F
R, D
Q, E
Y, H
R, G
J, X
E, XX
H, S
G, R
S, A
M, D
F, R
A, XX
V, Z
K, D
B, XX
S, C
I, W
D, XX
T, D
Z, D
N, A
Q, L
S, Q
D, XX
R, W
C, YX
T, P
J, Z
I, D
H, C
O, P
P, U
R, W
R, H
N, N
T, H
B, XX
Y, M
C, XX
P, N
Z, Z
Y, D
W, O
J, R
T, Y
U, A
B, XX
B, YY
U, N
Q, N
K, S
C, XX
Q, H
I, N
F, V
N, K
Q, V
R, B
S, S
W, B
C, XX
L, P
I, T
T, D
S, S
E, XY
N, U
S, E
D, XX
G, X
U, A
U, H
B, XX
O, C
L, J
M, O
J, G
C, XX
S, F
N, B
W, G
M, J
D, XY
W, O
X, T
K, I
K, S
H, C
J, N
X, E
U, Z
Y, B
M, H
V, I
O, A
F, O
H, Q
M, P
M, U
F, X
T, G
A, XX
G, J
V, W
Y, A
R, W
S, C
N, G
M, B
Z, S
C, XY
X, N
S, J
Z, C
C, YX
V, B
O, L
Z, G
G, I
U, S
T, I
H, B
F, U
P, E
E, XX
K, N
Z, F
I, G
D, YX
R, V
S, B
V, I
C, XX
J, N
R, G
Z, A
K, L
T, G
M, U
D, YY
V, Z
D, XX
J, Q
Q, P
G, V
A, YY
X, L
D, XY
V, I
B, XX
E, XX
V, K
A, XX
E, XX
E, XX
W, A
Q, G
H, K
O, B
H, D
F, X
N, Q
U, U
Z, U
J, O
M, X
N, K
E, XX
F, X
U, B
Z, N
T, Z
Z, C
R, G
V, X
B, XY
F, W
U, J
V, V
E, XX
U, S
X, A
S, Y
O, O
E, XY
W, M
I, M
C, XX
F, N
A, XY
F, D
S, X
V, I
A, XX
X, U
W, W
Y, J
Y, K
C, XX
D, YX
Y, U
Y, Q
E, XY
S, Y
U, F
P, E
H, R
D, XX
Y, Y
K, Z
Z, A
P, X
Z, F
O, Y
D, XX
G, Z
E, XX
C, XX
Q, X
L, G
G, B
G, C
A, XX
T, Z
W, M
J, O
C, XX
W, Q
R, E
B, XX
H, I
Y, B
E, XX
T, O
X, C
P, P
M, A
Y, E
X, E
C, XX
E, XX
S, S
G, H
G, B
O, V
D, XX
L, H
R, P
F, A
E, XX
C, XX
I, K
M, R
C, XX
E, XX
J, L
G, M
F, G
B, XX
R, C
I, O
Z, P
O, V
V, K
N, W
M, W
M, C
X, S
N, X
U, R
Q, D
T, E
Z, Z
V, D
L, Z
L, Z
Q, V
G, X
X, B
K, K
I, H
L, W
U, Q
N, K
K, D
P, T
Y, Y
O, C
H, N
I, K
J, M
P, A
H, D
P, S
B, XX
I, G
T, X
X, A
V, H
H, M
S, C
W, D
Z, L
V, H
K, Q
E, XX
V, T
T, W
V, N
E, XX
N, D
W, W
A, YX
V, V
G, L
X, S
H, V
N, Q
D, YY
J, P
E, XX
P, J
E, XX
T, R
H, K
E, XX
Z, W
Q, R
G, K
A, XX
T, A
X, Q
P, A
G, U
H, Z
Q, L
J, J
G, M
R, V
K, C
N, R
V, J
Q, P
H, C
B, XY
Q, W
G, S
X, H
D, XX
X, U
U, P
R, R
S, R
Z, G
K, K
A, XX
O, E
S, F
N, U
X, R
N, V
V, W
E, YY
D, XX
V, T
E, XX
I, C
J, T
H, U
I, G
H, W
M, W
P, Y
B, XX
N, W
J, H
B, XX
D, XX
K, O
X, L
I, S
U, M
Q, E
Q, A
H, T
E, XX
M, T
C, XX
Q, K
Z, J
A, YX
J, A
I, V
E, XX
Q, G
S, I
D, XX
P, E
V, H
H, S
P, I
X, Z
I, X
J, E
Y, X
K, F
S, D
T, P
E, XX
Q, A
W, G
N, B
Z, R
Q, A
R, K
J, O
M, D
S, Q
H, R
R, H
P, D
V, C
