field1,field2,field3
string,string,string
,,
a,f,i
c,e,h
c,f,i
b,e,h
a,d,g
c,d,g
b,e,g
a,d,g
b,f,i
b,e,h
a,f,i
a,d,g
a,f,i
c,f,i
b,e,g
b,e,h
b,f,i
b,f,i
b,d,g
b,f,i
a,d,g
b,d,g
a,f,i
c,e,h
b,f,i
c,d,h
a,f,i
b,e,h
b,e,h
c,e,h
a,f,i
c,f,i
c,e,h
c,d,g
c,d,g
a,f,i
c,f,i
b,d,g
a,e,h
a,d,g
b,f,g
b,d,g
b,e,h
a,f,i
c,e,i
b,e,h
a,e,h
b,f,i
a,d,g
a,f,i
c,e,h
a,d,g
c,f,g
a,f,i
a,f,i
b,f,h
b,d,i
a,d,g
a,f,i
b,e,h
a,d,g
a,d,g
c,d,g
c,d,g
c,e,h
c,f,i
a,f,i
a,d,g
b,e,i
b,f,h
c,f,i
b,f,i
b,d,g
a,f,i
b,d,g
b,e,h
a,e,h
a,d,g
c,f,i
c,e,h
b,e,h
b,f,i
b,d,g
b,f,i
a,e,h
c,e,i
c,f,i
a,e,h
b,e,h
c,d,g
c,e,h
a,d,g
a,d,i
b,f,i
c,e,h
c,f,i
a,e,h
a,d,g
c,e,h
b,d,g
c,d,g
a,d,g
c,f,i
c,f,i
a,f,i
b,e,h
b,d,g
c,e,h
b,d,i
c,f,i
b,e,h
b,f,i
a,e,i
c,e,h
b,f,g
c,d,g
b,d,g
b,d,g
a,d,g
b,e,h
c,f,i
b,d,g
b,e,h
b,f,i
b,d,g
c,d,g
c,f,h
b,f,i
b,f,i
a,f,i
a,f,i
b,f,i
b,e,h
b,e,i
c,d,g
b,f,i
b,d,g
b,f,i
c,d,g
b,f,i
b,d,g
c,d,g
c,f,i
a,e,h
a,f,i
c,d,g
a,d,g
b,e,h
b,f,i
b,f,i
b,d,g
c,f,i
b,d,g
a,e,h
b,e,h
b,f,i
a,f,i
a,f,i
c,e,h
a,e,h
b,e,h
a,e,h
b,d,i
a,d,g
c,d,g
c,f,i
a,d,g
c,d,g
a,d,g
c,e,h
b,d,g
