gym,timestamp,attendeeCount,consumption
string,datetime,int,float
S,T,,
Melbourne Central,2010-09-07 00:00:00.0,0,41.34
Melbourne Central,2010-09-07 01:00:00.0,0,6.66
Melbourne Central,2010-09-07 02:00:00.0,0,6.67
Melbourne Central,2010-09-07 03:00:00.0,0,6.96
Melbourne Central,2010-09-07 04:00:00.0,0,6.63
Melbourne Central,2010-09-07 05:00:00.0,0,8.05
Melbourne Central,2010-09-07 06:00:00.0,106,71.51
Melbourne Central,2010-09-07 07:00:00.0,69,76.63
Melbourne Central,2010-09-07 08:00:00.0,35,65.71
Melbourne Central,2010-09-07 09:00:00.0,20,64.07
Melbourne Central,2010-09-07 10:00:00.0,28,65.79
Melbourne Central,2010-09-07 11:00:00.0,42,65.35
Melbourne Central,2010-09-07 12:00:00.0,117,68.38
Melbourne Central,2010-09-07 13:00:00.0,40,73.72
Melbourne Central,2010-09-07 14:00:00.0,45,69.08
Melbourne Central,2010-09-07 15:00:00.0,65,65.04
Melbourne Central,2010-09-07 16:00:00.0,98,70.6
Melbourne Central,2010-09-07 17:00:00.0,235,74.66
Melbourne Central,2010-09-07 18:00:00.0,227,82.41
Melbourne Central,2010-09-07 19:00:00.0,87,83.82
Melbourne Central,2010-09-07 20:00:00.0,20,74.32
Melbourne Central,2010-09-07 21:00:00.0,0,51.16
Melbourne Central,2010-09-07 22:00:00.0,0,47.76
Melbourne Central,2010-09-07 23:00:00.0,0,48.79
Melbourne Central,2010-09-14 00:00:00.0,0,47.14
Melbourne Central,2010-09-14 01:00:00.0,0,9.34
Melbourne Central,2010-09-14 02:00:00.0,0,8.45
Melbourne Central,2010-09-14 03:00:00.0,0,8.47
Melbourne Central,2010-09-14 04:00:00.0,0,8.42
Melbourne Central,2010-09-14 05:00:00.0,0,8.73
Melbourne Central,2010-09-14 06:00:00.0,103,69.23
Melbourne Central,2010-09-14 07:00:00.0,61,78.92
Melbourne Central,2010-09-14 08:00:00.0,30,68.91
Melbourne Central,2010-09-14 09:00:00.0,28,66.7
Melbourne Central,2010-09-14 10:00:00.0,32,64.32
Melbourne Central,2010-09-14 11:00:00.0,56,65.91
Melbourne Central,2010-09-14 12:00:00.0,123,71.75
Melbourne Central,2010-09-14 13:00:00.0,45,73.77
Melbourne Central,2010-09-14 14:00:00.0,43,69.67
Melbourne Central,2010-09-14 15:00:00.0,61,68.7
Melbourne Central,2010-09-14 16:00:00.0,114,70.71
Melbourne Central,2010-09-14 17:00:00.0,208,77.93
Melbourne Central,2010-09-14 18:00:00.0,214,83.86
Melbourne Central,2010-09-14 19:00:00.0,86,87.24
Melbourne Central,2010-09-14 20:00:00.0,16,76.53
Melbourne Central,2010-09-14 21:00:00.0,0,49.47
Melbourne Central,2010-09-14 22:00:00.0,0,49.6
Melbourne Central,2010-09-14 23:00:00.0,0,49.81
Melbourne Central,2010-09-21 00:00:00.0,0,37.46
Melbourne Central,2010-09-21 01:00:00.0,0,8.53
Melbourne Central,2010-09-21 02:00:00.0,0,8.45
Melbourne Central,2010-09-21 03:00:00.0,0,8.65
Melbourne Central,2010-09-21 04:00:00.0,0,8.66
Melbourne Central,2010-09-21 05:00:00.0,0,9.77
Melbourne Central,2010-09-21 06:00:00.0,77,58.54
Melbourne Central,2010-09-21 07:00:00.0,54,71.95
Melbourne Central,2010-09-21 08:00:00.0,38,65.78
Melbourne Central,2010-09-21 09:00:00.0,32,62.49
Melbourne Central,2010-09-21 10:00:00.0,23,61.14
Melbourne Central,2010-09-21 11:00:00.0,49,63.47
Melbourne Central,2010-09-21 12:00:00.0,111,70.34
Melbourne Central,2010-09-21 13:00:00.0,53,72.72
Melbourne Central,2010-09-21 14:00:00.0,38,70.19
Melbourne Central,2010-09-21 15:00:00.0,55,65.22
Melbourne Central,2010-09-21 16:00:00.0,101,67.3
Melbourne Central,2010-09-21 17:00:00.0,254,75.86
Melbourne Central,2010-09-21 18:00:00.0,214,81.61
Melbourne Central,2010-09-21 19:00:00.0,81,83.13
Melbourne Central,2010-09-21 20:00:00.0,14,71.11
Melbourne Central,2010-09-21 21:00:00.0,0,48.23
Melbourne Central,2010-09-21 22:00:00.0,0,45.94
Melbourne Central,2010-09-21 23:00:00.0,0,48.6
Melbourne Central,2010-09-28 00:00:00.0,0,39.21
Melbourne Central,2010-09-28 01:00:00.0,0,8.29
Melbourne Central,2010-09-28 02:00:00.0,0,8.41
Melbourne Central,2010-09-28 03:00:00.0,0,8.68
Melbourne Central,2010-09-28 04:00:00.0,0,8.17
Melbourne Central,2010-09-28 05:00:00.0,0,8.98
Melbourne Central,2010-09-28 06:00:00.0,99,55.31
Melbourne Central,2010-09-28 07:00:00.0,65,68.13
Melbourne Central,2010-09-28 08:00:00.0,40,64.34
Melbourne Central,2010-09-28 09:00:00.0,33,61.03
Melbourne Central,2010-09-28 10:00:00.0,20,57.35
Melbourne Central,2010-09-28 11:00:00.0,49,58.08
Melbourne Central,2010-09-28 12:00:00.0,103,67.96
Melbourne Central,2010-09-28 13:00:00.0,52,75.94
Melbourne Central,2010-09-28 14:00:00.0,38,70.53
Melbourne Central,2010-09-28 15:00:00.0,46,63.75
Melbourne Central,2010-09-28 16:00:00.0,108,73.98
Melbourne Central,2010-09-28 17:00:00.0,221,78.43
Melbourne Central,2010-09-28 18:00:00.0,210,80.33
Melbourne Central,2010-09-28 19:00:00.0,91,83.98
Melbourne Central,2010-09-28 20:00:00.0,20,74.23
Melbourne Central,2010-09-28 21:00:00.0,0,48.96
