gym,timestamp,attendeeCount,consumption
string,datetime,int,float
S,T,,
Melbourne Central,2010-09-03 00:00:00.0,0,44.56
Melbourne Central,2010-09-03 01:00:00.0,0,9.03
Melbourne Central,2010-09-03 02:00:00.0,0,8.75
Melbourne Central,2010-09-03 03:00:00.0,0,8.98
Melbourne Central,2010-09-03 04:00:00.0,0,8.81
Melbourne Central,2010-09-03 05:00:00.0,1,9.36
Melbourne Central,2010-09-03 06:00:00.0,62,72.52
Melbourne Central,2010-09-03 07:00:00.0,47,70.41
Melbourne Central,2010-09-03 08:00:00.0,35,70.19
Melbourne Central,2010-09-03 09:00:00.0,24,66.38
Melbourne Central,2010-09-03 10:00:00.0,28,65.26
Melbourne Central,2010-09-03 11:00:00.0,34,65.43
Melbourne Central,2010-09-03 12:00:00.0,94,67.22
Melbourne Central,2010-09-03 13:00:00.0,44,72.53
Melbourne Central,2010-09-03 14:00:00.0,28,67.92
Melbourne Central,2010-09-03 15:00:00.0,63,62.1
Melbourne Central,2010-09-03 16:00:00.0,81,65.6
Melbourne Central,2010-09-03 17:00:00.0,132,72.5
Melbourne Central,2010-09-03 18:00:00.0,89,77.57
Melbourne Central,2010-09-03 19:00:00.0,35,74.58
Melbourne Central,2010-09-03 20:00:00.0,19,64.05
Melbourne Central,2010-09-03 21:00:00.0,0,47.92
Melbourne Central,2010-09-03 22:00:00.0,0,47.79
Melbourne Central,2010-09-03 23:00:00.0,0,48.18
Melbourne Central,2010-09-10 00:00:00.0,0,39.5
Melbourne Central,2010-09-10 01:00:00.0,0,8.14
Melbourne Central,2010-09-10 02:00:00.0,0,7.78
Melbourne Central,2010-09-10 03:00:00.0,0,8.04
Melbourne Central,2010-09-10 04:00:00.0,0,7.68
Melbourne Central,2010-09-10 05:00:00.0,1,8.89
Melbourne Central,2010-09-10 06:00:00.0,67,72.88
Melbourne Central,2010-09-10 07:00:00.0,48,72.03
Melbourne Central,2010-09-10 08:00:00.0,33,72.8
Melbourne Central,2010-09-10 09:00:00.0,19,68.19
Melbourne Central,2010-09-10 10:00:00.0,22,64.92
Melbourne Central,2010-09-10 11:00:00.0,44,67.87
Melbourne Central,2010-09-10 12:00:00.0,94,69.27
Melbourne Central,2010-09-10 13:00:00.0,36,74.32
Melbourne Central,2010-09-10 14:00:00.0,38,65.16
Melbourne Central,2010-09-10 15:00:00.0,52,61.53
Melbourne Central,2010-09-10 16:00:00.0,79,64.96
Melbourne Central,2010-09-10 17:00:00.0,155,77.69
Melbourne Central,2010-09-10 18:00:00.0,110,78.3
Melbourne Central,2010-09-10 19:00:00.0,33,69.56
Melbourne Central,2010-09-10 20:00:00.0,11,64.29
Melbourne Central,2010-09-10 21:00:00.0,0,33.15
Melbourne Central,2010-09-10 22:00:00.0,0,45.39
Melbourne Central,2010-09-10 23:00:00.0,0,46.48
Melbourne Central,2010-09-17 00:00:00.0,0,44.14
Melbourne Central,2010-09-17 01:00:00.0,0,8.49
Melbourne Central,2010-09-17 02:00:00.0,0,8.71
Melbourne Central,2010-09-17 03:00:00.0,0,8.29
Melbourne Central,2010-09-17 04:00:00.0,0,8.84
Melbourne Central,2010-09-17 05:00:00.0,0,8.51
Melbourne Central,2010-09-17 06:00:00.0,75,59.63
Melbourne Central,2010-09-17 07:00:00.0,58,68.85
Melbourne Central,2010-09-17 08:00:00.0,25,65.89
Melbourne Central,2010-09-17 09:00:00.0,23,62.54
Melbourne Central,2010-09-17 10:00:00.0,29,61.31
Melbourne Central,2010-09-17 11:00:00.0,33,66.74
Melbourne Central,2010-09-17 12:00:00.0,134,67.13
Melbourne Central,2010-09-17 13:00:00.0,55,73.46
Melbourne Central,2010-09-17 14:00:00.0,39,71.7
Melbourne Central,2010-09-17 15:00:00.0,54,67.12
Melbourne Central,2010-09-17 16:00:00.0,77,63.63
Melbourne Central,2010-09-17 17:00:00.0,112,68.38
Melbourne Central,2010-09-17 18:00:00.0,97,72.59
Melbourne Central,2010-09-17 19:00:00.0,35,75.83
Melbourne Central,2010-09-17 20:00:00.0,10,68.01
Melbourne Central,2010-09-17 21:00:00.0,0,35.28
Melbourne Central,2010-09-17 22:00:00.0,0,42.37
Melbourne Central,2010-09-17 23:00:00.0,0,45.91
Melbourne Central,2010-09-24 00:00:00.0,0,44.38
Melbourne Central,2010-09-24 01:00:00.0,0,10.04
Melbourne Central,2010-09-24 02:00:00.0,0,9.58
Melbourne Central,2010-09-24 03:00:00.0,0,9.55
Melbourne Central,2010-09-24 04:00:00.0,0,9.52
Melbourne Central,2010-09-24 05:00:00.0,0,9.66
Melbourne Central,2010-09-24 06:00:00.0,72,71.89
Melbourne Central,2010-09-24 07:00:00.0,53,74.63
Melbourne Central,2010-09-24 08:00:00.0,31,71.76
Melbourne Central,2010-09-24 09:00:00.0,25,67.88
Melbourne Central,2010-09-24 10:00:00.0,34,68.94
Melbourne Central,2010-09-24 11:00:00.0,54,64.42
Melbourne Central,2010-09-24 12:00:00.0,97,69.19
Melbourne Central,2010-09-24 13:00:00.0,40,73.94
Melbourne Central,2010-09-24 14:00:00.0,41,68.25
Melbourne Central,2010-09-24 15:00:00.0,49,63.89
Melbourne Central,2010-09-24 16:00:00.0,74,67.3
Melbourne Central,2010-09-24 17:00:00.0,137,75.08
Melbourne Central,2010-09-24 18:00:00.0,100,75.66
Melbourne Central,2010-09-24 19:00:00.0,49,71.93
Melbourne Central,2010-09-24 20:00:00.0,12,63.79
Melbourne Central,2010-09-24 21:00:00.0,0,49.28
