reset,category,field1
int,int,string
R,C,
0,4,20
0,4,21
0,4,22
0,4,23
0,4,24
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,7,35
0,7,36
0,7,37
0,7,38
0,7,39
0,4,20
0,4,21
0,4,22
0,4,23
0,4,24
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,2,10
0,2,11
0,2,12
0,2,13
0,2,14
0,2,10
0,2,11
0,2,12
0,2,13
0,2,14
0,5,25
0,5,26
0,5,27
0,5,28
0,5,29
0,9,45
0,9,46
0,9,47
0,9,48
0,9,49
0,7,35
0,7,36
0,7,37
0,7,38
0,7,39
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,7,35
0,7,36
0,7,37
0,7,38
0,7,39
0,7,35
0,7,36
0,7,37
0,7,38
0,7,39
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,6,30
0,6,31
0,6,32
0,6,33
0,6,34
0,3,15
0,3,16
0,3,17
0,3,18
0,3,19
0,2,10
0,2,11
0,2,12
0,2,13
0,2,14
0,2,10
0,2,11
0,2,12
0,2,13
0,2,14
0,6,30
0,6,31
0,6,32
0,6,33
0,6,34
0,3,15
0,3,16
0,3,17
0,3,18
0,3,19
0,6,30
0,6,31
0,6,32
0,6,33
0,6,34
0,6,30
0,6,31
0,6,32
0,6,33
0,6,34
0,8,40
0,8,41
0,8,42
0,8,43
0,8,44
0,4,20
0,4,21
0,4,22
0,4,23
0,4,24
0,3,15
0,3,16
0,3,17
0,3,18
0,3,19
0,2,10
0,2,11
0,2,12
0,2,13
0,2,14
0,2,10
0,2,11
0,2,12
0,2,13
0,2,14
0,7,35
0,7,36
0,7,37
0,7,38
0,7,39
0,2,10
0,2,11
0,2,12
0,2,13
0,2,14
0,3,15
0,3,16
0,3,17
0,3,18
0,3,19
0,9,45
0,9,46
0,9,47
0,9,48
0,9,49
0,8,40
0,8,41
0,8,42
0,8,43
0,8,44
0,2,10
0,2,11
0,2,12
0,2,13
0,2,14
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,3,15
0,3,16
0,3,17
0,3,18
0,3,19
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,8,40
0,8,41
0,8,42
0,8,43
0,8,44
0,8,40
0,8,41
0,8,42
0,8,43
0,8,44
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,9,45
0,9,46
0,9,47
0,9,48
0,9,49
0,7,35
0,7,36
0,7,37
0,7,38
0,7,39
0,4,20
0,4,21
0,4,22
0,4,23
0,4,24
0,9,45
0,9,46
0,9,47
0,9,48
0,9,49
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,5,25
0,5,26
0,5,27
0,5,28
0,5,29
0,9,45
0,9,46
0,9,47
0,9,48
0,9,49
0,3,15
0,3,16
0,3,17
0,3,18
0,3,19
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,6,30
0,6,31
0,6,32
0,6,33
0,6,34
0,2,10
0,2,11
0,2,12
0,2,13
0,2,14
0,4,20
0,4,21
0,4,22
0,4,23
0,4,24
0,6,30
0,6,31
0,6,32
0,6,33
0,6,34
0,8,40
0,8,41
0,8,42
0,8,43
0,8,44
0,3,15
0,3,16
0,3,17
0,3,18
0,3,19
0,4,20
0,4,21
0,4,22
0,4,23
0,4,24
0,5,25
0,5,26
0,5,27
0,5,28
0,5,29
0,6,30
0,6,31
0,6,32
0,6,33
0,6,34
0,2,10
0,2,11
0,2,12
0,2,13
0,2,14
0,6,30
0,6,31
0,6,32
0,6,33
0,6,34
0,4,20
0,4,21
0,4,22
0,4,23
0,4,24
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,3,15
0,3,16
0,3,17
0,3,18
0,3,19
0,9,45
0,9,46
0,9,47
0,9,48
0,9,49
0,7,35
0,7,36
0,7,37
0,7,38
0,7,39
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,5,25
0,5,26
0,5,27
0,5,28
0,5,29
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,3,15
0,3,16
0,3,17
0,3,18
0,3,19
0,5,25
0,5,26
0,5,27
0,5,28
0,5,29
0,2,10
0,2,11
0,2,12
0,2,13
0,2,14
0,3,15
0,3,16
0,3,17
0,3,18
0,3,19
0,5,25
0,5,26
0,5,27
0,5,28
0,5,29
0,7,35
0,7,36
0,7,37
0,7,38
0,7,39
0,6,30
0,6,31
0,6,32
0,6,33
0,6,34
0,9,45
0,9,46
0,9,47
0,9,48
0,9,49
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,8,40
0,8,41
0,8,42
0,8,43
0,8,44
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,7,35
0,7,36
0,7,37
0,7,38
0,7,39
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,9,45
0,9,46
0,9,47
0,9,48
0,9,49
0,3,15
0,3,16
0,3,17
0,3,18
0,3,19
0,3,15
0,3,16
0,3,17
0,3,18
0,3,19
0,9,45
0,9,46
0,9,47
0,9,48
0,9,49
0,5,25
0,5,26
0,5,27
0,5,28
0,5,29
0,4,20
0,4,21
0,4,22
0,4,23
0,4,24
0,9,45
0,9,46
0,9,47
0,9,48
0,9,49
0,7,35
0,7,36
0,7,37
0,7,38
0,7,39
0,8,40
0,8,41
0,8,42
0,8,43
0,8,44
0,6,30
0,6,31
0,6,32
0,6,33
0,6,34
0,9,45
0,9,46
0,9,47
0,9,48
0,9,49
0,5,25
0,5,26
0,5,27
0,5,28
0,5,29
0,6,30
0,6,31
0,6,32
0,6,33
0,6,34
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,4,20
0,4,21
0,4,22
0,4,23
0,4,24
0,4,20
0,4,21
0,4,22
0,4,23
0,4,24
0,8,40
0,8,41
0,8,42
0,8,43
0,8,44
0,6,30
0,6,31
0,6,32
0,6,33
0,6,34
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,5,25
0,5,26
0,5,27
0,5,28
0,5,29
0,2,10
0,2,11
0,2,12
0,2,13
0,2,14
0,8,40
0,8,41
0,8,42
0,8,43
0,8,44
0,4,20
0,4,21
0,4,22
0,4,23
0,4,24
0,5,25
0,5,26
0,5,27
0,5,28
0,5,29
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,2,10
0,2,11
0,2,12
0,2,13
0,2,14
0,8,40
0,8,41
0,8,42
0,8,43
0,8,44
0,2,10
0,2,11
0,2,12
0,2,13
0,2,14
0,7,35
0,7,36
0,7,37
0,7,38
0,7,39
0,8,40
0,8,41
0,8,42
0,8,43
0,8,44
0,8,40
0,8,41
0,8,42
0,8,43
0,8,44
0,3,15
0,3,16
0,3,17
0,3,18
0,3,19
0,2,10
0,2,11
0,2,12
0,2,13
0,2,14
0,9,45
0,9,46
0,9,47
0,9,48
0,9,49
0,3,15
0,3,16
0,3,17
0,3,18
0,3,19
0,8,40
0,8,41
0,8,42
0,8,43
0,8,44
0,1,5
