reset,category,field1
int,int,string
R,C,
0,12,12
0,0,0
0,41,41
0,36,36
0,22,22
0,9,9
0,9,9
0,41,41
0,19,19
0,11,11
0,33,33
0,20,20
0,38,38
0,49,49
0,13,13
0,41,41
0,14,14
0,29,29
0,19,19
0,42,42
0,39,39
0,20,20
0,48,48
0,7,7
0,4,4
0,4,4
0,46,46
0,34,34
0,21,21
0,41,41
0,2,2
0,3,3
0,16,16
0,5,5
0,12,12
0,23,23
0,31,31
0,48,48
0,7,7
0,33,33
0,38,38
0,42,42
0,39,39
0,0,0
0,21,21
0,15,15
0,22,22
0,0,0
0,30,30
0,30,30
0,45,45
0,21,21
0,14,14
0,22,22
0,33,33
0,30,30
0,48,48
0,1,1
0,4,4
0,46,46
0,9,9
0,32,32
0,40,40
0,21,21
0,13,13
0,41,41
0,18,18
0,27,27
0,45,45
0,9,9
0,46,46
0,34,34
0,19,19
0,23,23
0,24,24
0,28,28
0,13,13
0,19,19
0,35,35
0,46,46
0,25,25
0,26,26
0,1,1
0,16,16
0,25,25
0,42,42
0,46,46
0,22,22
0,15,15
0,9,9
0,37,37
0,33,33
0,35,35
0,13,13
0,37,37
0,48,48
0,18,18
0,47,47
0,27,27
0,25,25
0,17,17
0,45,45
0,4,4
0,12,12
0,1,1
0,34,34
0,18,18
0,16,16
0,20,20
0,38,38
0,0,0
0,11,11
0,15,15
0,35,35
0,25,25
0,36,36
0,25,25
0,48,48
0,26,26
0,2,2
0,32,32
0,0,0
0,29,29
0,43,43
0,8,8
0,27,27
0,17,17
0,9,9
0,9,9
0,7,7
0,37,37
0,48,48
0,10,10
0,9,9
0,38,38
0,11,11
0,17,17
0,41,41
0,40,40
0,27,27
0,45,45
0,33,33
0,23,23
0,42,42
0,38,38
0,15,15
0,19,19
0,6,6
0,32,32
0,13,13
0,11,11
0,33,33
0,18,18
0,44,44
0,12,12
0,32,32
0,11,11
0,47,47
0,34,34
0,19,19
0,29,29
0,6,6
0,5,5
0,37,37
0,43,43
0,13,13
0,21,21
0,33,33
0,32,32
0,40,40
0,4,4
0,28,28
0,45,45
0,0,0
0,8,8
0,20,20
0,49,49
0,13,13
0,47,47
0,27,27
0,2,2
0,4,4
0,24,24
0,0,0
0,0,0
0,24,24
0,16,16
0,19,19
0,47,47
0,16,16
0,3,3
0,44,44
0,46,46
0,24,24
0,41,41
0,43,43
0,24,24
0,37,37
0,42,42
0,20,20
0,20,20
0,21,21
0,33,33
0,11,11
0,35,35
0,32,32
0,34,34
0,3,3
0,2,2
0,32,32
0,40,40
0,44,44
0,41,41
0,6,6
0,21,21
0,11,11
0,7,7
0,11,11
0,27,27
0,5,5
0,13,13
0,9,9
0,15,15
0,33,33
0,7,7
0,7,7
0,16,16
0,30,30
0,34,34
0,24,24
0,10,10
0,41,41
0,26,26
0,34,34
0,47,47
0,45,45
0,21,21
0,47,47
0,27,27
0,46,46
0,11,11
0,12,12
0,42,42
0,31,31
0,17,17
0,3,3
0,17,17
0,26,26
0,27,27
0,23,23
0,38,38
0,23,23
0,37,37
0,32,32
0,1,1
0,30,30
0,35,35
0,28,28
0,39,39
0,3,3
0,47,47
0,39,39
0,24,24
0,24,24
0,15,15
0,46,46
0,21,21
0,16,16
0,15,15
0,12,12
0,32,32
0,42,42
0,16,16
0,10,10
0,44,44
0,7,7
0,12,12
0,23,23
0,36,36
0,1,1
0,7,7
0,16,16
0,33,33
0,20,20
0,12,12
0,47,47
0,6,6
0,8,8
0,33,33
0,42,42
0,22,22
0,24,24
0,46,46
0,39,39
0,35,35
0,28,28
0,47,47
0,5,5
0,38,38
0,49,49
0,32,32
0,27,27
0,48,48
0,42,42
0,33,33
0,47,47
0,31,31
0,10,10
0,45,45
0,34,34
0,17,17
0,35,35
0,2,2
0,48,48
0,20,20
0,17,17
0,14,14
0,5,5
0,29,29
0,6,6
0,3,3
0,5,5
0,47,47
0,45,45
0,30,30
0,37,37
0,17,17
0,17,17
0,42,42
0,41,41
0,29,29
0,7,7
0,12,12
0,47,47
0,40,40
0,23,23
0,36,36
0,7,7
0,42,42
0,35,35
0,34,34
0,25,25
0,3,3
0,15,15
0,21,21
0,19,19
0,46,46
0,47,47
0,40,40
0,47,47
0,47,47
0,11,11
0,3,3
0,29,29
0,44,44
0,47,47
0,28,28
0,6,6
0,14,14
0,38,38
0,25,25
0,24,24
0,18,18
0,21,21
0,23,23
0,3,3
0,43,43
0,34,34
0,13,13
0,29,29
0,43,43
0,2,2
0,44,44
0,26,26
0,36,36
0,28,28
0,0,0
0,14,14
0,36,36
0,6,6
0,20,20
0,40,40
0,28,28
0,3,3
0,16,16
0,25,25
0,5,5
0,19,19
0,21,21
0,22,22
0,8,8
0,24,24
0,31,31
0,39,39
0,33,33
0,3,3
0,42,42
0,20,20
0,23,23
0,9,9
0,7,7
0,5,5
0,32,32
0,41,41
0,28,28
0,30,30
0,19,19
0,14,14
0,33,33
0,39,39
0,13,13
0,41,41
0,5,5
0,30,30
0,22,22
0,42,42
0,30,30
0,0,0
0,5,5
0,13,13
0,18,18
0,35,35
0,37,37
0,30,30
0,32,32
0,1,1
0,48,48
0,22,22
0,40,40
0,45,45
0,40,40
0,16,16
0,8,8
0,19,19
0,0,0
0,30,30
0,49,49
0,15,15
0,39,39
0,17,17
0,4,4
0,33,33
0,8,8
0,22,22
0,48,48
0,46,46
0,44,44
0,21,21
0,32,32
0,49,49
0,20,20
0,39,39
0,10,10
0,34,34
0,26,26
0,39,39
0,29,29
0,11,11
0,23,23
0,16,16
0,29,29
0,23,23
0,38,38
0,15,15
0,25,25
0,49,49
0,42,42
0,6,6
0,49,49
0,27,27
0,49,49
0,3,3
0,36,36
0,17,17
0,15,15
0,44,44
0,41,41
0,27,27
0,5,5
0,45,45
0,26,26
0,31,31
0,8,8
0,40,40
0,1,1
0,25,25
0,49,49
0,20,20
0,37,37
0,37,37
0,1,1
0,6,6
0,22,22
0,48,48
0,7,7
0,12,12
0,14,14
0,20,20
0,38,38
0,32,32
0,24,24
0,4,4
0,5,5
0,36,36
0,42,42
0,10,10
0,35,35
0,40,40
0,8,8
0,4,4
0,20,20
0,14,14
0,37,37
0,37,37
0,8,8
0,36,36
0,36,36
0,31,31
0,31,31
0,30,30
0,38,38
0,41,41
0,31,31
0,35,35
0,44,44
0,23,23
0,9,9
0,22,22
0,20,20
0,26,26
0,26,26
0,45,45
0,22,22
0,43,43
0,37,37
0,2,2
0,40,40
0,14,14
0,35,35
0,18,18
0,2,2
0,39,39
0,28,28
0,19,19
0,33,33
0,23,23
0,38,38
0,20,20
0,21,21
0,31,31
0,0,0
0,12,12
0,18,18
0,38,38
0,29,29
0,18,18
0,45,45
0,11,11
0,27,27
0,36,36
0,43,43
0,40,40
0,28,28
0,1,1
0,46,46
0,17,17
0,35,35
0,8,8
0,43,43
0,36,36
0,3,3
0,46,46
0,32,32
0,35,35
0,10,10
0,43,43
0,39,39
0,25,25
0,49,49
0,9,9
0,10,10
0,15,15
0,15,15
0,41,41
0,44,44
0,1,1
0,28,28
0,37,37
0,28,28
0,23,23
0,40,40
0,32,32
0,26,26
0,13,13
0,30,30
0,16,16
0,5,5
0,24,24
0,30,30
0,17,17
0,41,41
