gym,address,timestamp,consumption,TEMP,DEWP,SLP,STP,MAX,MIN,PRCP
string,string,datetime,float,float,float,float,float,float,float,float
S,,T,,,,,,,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 00:00:00.0,,,41.9,1060,,,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 00:15:00.0,,,,,,,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 00:30:00.0,,,,,,57.2,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 00:45:00.0,23.23,51.5,,,1060,,44.8,
Mosman,555 Military Rd Mosman 2088,2010-07-02 01:00:00.0,,51.5,,,,57.2,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 01:15:00.0,22.94,51.5,41.9,,,,44.8,
Mosman,555 Military Rd Mosman 2088,2010-07-02 01:30:00.0,,,,,,,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 01:45:00.0,23.13,51.5,41.9,,1060,,44.8,
Mosman,555 Military Rd Mosman 2088,2010-07-02 02:00:00.0,23.14,51.5,,1060,,57.2,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 02:15:00.0,,,,,1060,,44.8,
Mosman,555 Military Rd Mosman 2088,2010-07-02 02:30:00.0,23.71,,41.9,,,57.2,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 02:45:00.0,,,41.9,,,,,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 03:00:00.0,23.28,51.5,,1060,,57.2,44.8,
Mosman,555 Military Rd Mosman 2088,2010-07-02 03:15:00.0,,51.5,,,1060,,,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 03:30:00.0,,51.5,,,,57.2,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 03:45:00.0,,51.5,,1060,,57.2,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 04:00:00.0,24.05,,,1060,1060,57.2,44.8,
Mosman,555 Military Rd Mosman 2088,2010-07-02 04:15:00.0,24.04,,41.9,,,,44.8,
Mosman,555 Military Rd Mosman 2088,2010-07-02 04:30:00.0,,,41.9,1060,1060,57.2,44.8,
Mosman,555 Military Rd Mosman 2088,2010-07-02 04:45:00.0,24.04,,,,,,,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 05:00:00.0,,,41.9,,,,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 05:15:00.0,19.84,,,,,,,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 05:30:00.0,,51.5,41.9,,,57.2,,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 05:45:00.0,23.46,51.5,,,,,44.8,
Mosman,555 Military Rd Mosman 2088,2010-07-02 06:00:00.0,,51.5,41.9,1060,1060,,44.8,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 06:15:00.0,,,,,1060,57.2,,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 06:30:00.0,35.62,,41.9,,,,44.8,
Mosman,555 Military Rd Mosman 2088,2010-07-02 06:45:00.0,35.49,,41.9,1060,,57.2,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 07:00:00.0,,51.5,,,,57.2,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 07:15:00.0,33.96,,41.9,,,,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 07:30:00.0,33.09,51.5,41.9,,,,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 07:45:00.0,,,,,1060,,,
Mosman,555 Military Rd Mosman 2088,2010-07-02 08:00:00.0,,,41.9,,,,44.8,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 08:15:00.0,,51.5,,,1060,,44.8,
Mosman,555 Military Rd Mosman 2088,2010-07-02 08:30:00.0,32.28,51.5,41.9,,,57.2,44.8,
Mosman,555 Military Rd Mosman 2088,2010-07-02 08:45:00.0,31.65,,,,1060,,,0.03
Mosman,555 Military Rd Mosman 2088,2010-07-02 09:00:00.0,,,41.9,,1060,,44.8,
