field1,field2
int,int
,
82,88
0,1
40,39
36,36
8,10
78,72
22,22
77,76
14,14
89,95
48,42
98,101
32,29
7,5
91,84
81,81
73,73
59,60
97,100
93,93
41,48
27,35
28,22
48,45
77,73
43,51
93,94
68,71
36,37
66,65
40,44
13,18
77,78
59,66
7,9
70,69
79,80
57,63
47,47
3,2
66,70
19,20
47,47
48,52
31,29
10,10
3,-2
76,76
76,76
98,100
45,46
20,16
58,58
1,1
25,25
73,73
100,100
80,76
5,7
96,100
14,16
48,58
45,55
66,65
20,29
23,18
64,60
35,34
38,39
71,71
21,25
12,12
82,94
45,40
39,41
53,53
79,78
93,92
53,58
69,68
66,67
47,44
83,83
55,63
91,91
29,26
96,101
72,63
94,89
35,34
47,49
28,29
69,68
10,9
8,1
60,60
87,91
8,8
11,8
3,4
55,41
30,23
95,99
8,9
47,51
77,83
59,59
7,5
79,85
60,62
88,95
46,43
57,57
67,71
33,37
78,78
43,43
68,68
57,57
19,27
16,26
44,30
90,93
84,81
94,95
67,67
65,64
59,67
69,70
80,78
22,27
27,18
69,73
45,35
69,67
88,78
42,46
48,48
68,67
26,18
86,84
26,21
94,99
38,32
60,61
94,97
13,10
20,15
100,104
70,65
42,37
16,23
41,43
81,71
77,72
96,96
99,102
1,-9
85,89
25,28
24,20
95,92
98,94
49,44
65,65
31,28
68,66
37,39
58,46
32,33
74,69
40,39
30,34
74,69
6,11
95,99
71,67
79,67
14,10
74,67
100,103
28,29
16,14
63,66
20,25
16,10
75,65
64,64
14,11
0,4
40,40
86,79
94,87
64,67
19,26
100,102
55,53
73,70
39,40
68,62
79,78
96,96
3,17
35,37
82,86
55,50
10,6
53,48
15,14
4,1
2,-5
53,50
37,37
6,1
69,79
90,90
52,57
58,58
86,82
98,100
15,11
76,72
8,10
28,34
13,15
27,21
14,10
66,58
4,3
65,65
0,4
99,98
78,76
53,52
94,96
28,19
17,27
29,20
10,13
9,19
21,20
47,46
90,91
49,61
51,51
69,66
91,85
24,34
68,66
36,42
5,10
99,102
10,12
21,20
39,36
11,8
43,43
7,2
59,67
28,23
6,11
11,8
31,24
49,54
36,51
39,44
56,58
81,81
94,89
65,69
3,7
79,81
83,77
41,41
36,40
72,67
72,71
75,74
5,6
19,19
48,34
50,54
58,58
18,13
34,38
85,86
88,83
34,51
92,99
16,20
83,70
99,105
44,38
13,13
22,24
59,60
13,15
37,36
66,61
97,97
70,64
59,57
77,83
59,61
41,45
43,41
92,92
6,0
51,54
40,32
99,91
3,-3
49,57
15,25
69,74
96,95
31,29
22,22
100,97
2,0
5,5
55,50
31,32
63,67
99,99
72,82
89,101
70,72
52,57
19,18
58,64
39,43
34,29
77,66
73,71
19,11
23,17
36,28
95,84
11,7
74,74
64,63
80,77
30,34
16,13
100,95
10,13
59,57
84,76
34,38
59,61
30,28
37,31
40,41
19,18
50,52
100,95
6,2
61,60
47,43
73,70
84,88
58,53
31,32
27,22
55,54
98,97
4,0
13,16
25,32
99,98
1,2
53,53
96,104
47,52
23,19
96,98
54,64
70,67
11,14
61,61
1,-3
1,1
84,84
98,91
85,85
77,71
7,7
60,60
82,89
16,16
45,43
74,67
57,57
9,16
61,58
29,35
45,46
8,6
11,16
56,56
49,48
38,42
71,66
49,49
27,34
32,32
88,88
35,31
50,58
97,94
83,80
65,65
87,82
56,54
81,87
24,28
8,0
32,28
85,86
69,60
68,73
100,99
14,11
64,62
63,57
51,51
30,31
71,71
64,65
8,10
38,36
12,12
67,72
85,87
93,94
91,87
67,67
32,37
51,52
51,53
99,91
91,98
33,33
92,83
62,63
89,94
38,36
65,74
94,96
4,-3
42,43
67,61
78,86
91,92
65,62
22,14
60,63
49,49
59,64
92,91
16,17
37,25
21,17
86,87
73,69
94,93
64,67
2,2
52,52
36,37
33,29
21,25
69,71
24,24
6,9
85,82
74,80
53,48
64,67
17,17
77,78
95,95
39,36
35,35
79,73
28,27
67,66
0,1
34,35
39,39
61,63
6,3
0,-2
34,39
4,5
35,42
81,78
75,78
2,5
83,90
65,61
31,27
42,41
0,-3
23,25
21,19
60,60
72,78
58,53
18,17
90,90
79,75
45,40
47,39
77,84
95,98
13,16
5,5
76,79
98,97
61,65
70,69
70,73
33,33
27,29
80,86
89,94
95,95
72,72
92,89
14,18
5,11
95,96
55,54
27,23
75,83
98,96
43,46
5,6
74,74
80,84
73,73
45,48
37,34
56,54
53,52
47,38
97,97
70,67
41,44
26,23
32,31
78,79
48,45
68,71
8,2
100,106
43,48
82,81
9,10
70,69
90,95
1,1
8,9
57,57
56,53
17,20
92,91
60,60
29,30
32,20
99,97
90,91
32,36
28,23
59,60
71,75
5,12
44,47
23,26
39,40
24,19
52,59
23,20
43,46
18,18
91,96
21,23
89,93
63,56
15,15
16,18
83,88
16,21
21,9
61,51
36,36
1,3
53,50
61,61
82,79
20,17
11,11
6,6
60,66
15,15
98,98
92,87
61,69
3,-6
89,82
24,28
97,91
52,48
86,88
99,101
23,36
97,101
87,87
68,71
28,31
43,42
35,47
66,71
26,30
27,14
65,70
16,16
29,18
10,11
50,49
62,56
40,43
94,91
37,46
44,49
41,40
29,24
6,12
65,65
66,60
9,13
84,78
92,87
42,35
75,78
24,34
17,17
96,104
27,24
97,97
68,74
81,80
72,72
17,18
85,81
49,51
17,19
100,101
46,42
61,64
37,40
47,50
19,17
10,10
58,52
22,30
54,52
12,10
45,43
35,31
12,12
92,89
89,87
78,84
44,45
16,11
9,12
33,29
72,79
20,16
5,-3
91,92
50,49
19,16
12,16
23,23
31,31
37,37
22,22
98,102
4,5
22,26
25,28
64,64
96,100
88,85
11,14
62,59
84,83
91,91
82,83
31,23
100,98
52,53
46,52
82,84
74,72
82,79
65,65
1,-9
5,2
15,14
32,30
52,54
98,101
9,6
21,10
37,44
83,83
93,95
18,26
73,83
9,9
23,19
43,39
1,1
13,15
80,83
39,40
12,12
33,32
79,82
95,95
68,68
69,76
97,99
34,34
2,10
28,25
64,66
85,88
33,33
63,55
68,66
5,6
54,54
85,98
98,98
7,10
41,41
14,8
69,74
77,80
24,17
86,86
85,85
56,56
62,66
78,70
34,34
41,38
31,23
35,33
59,53
39,43
52,50
85,96
68,71
54,56
2,-4
45,40
19,23
30,23
90,95
5,9
48,46
94,86
1,-2
66,62
93,93
84,85
94,94
52,52
85,77
20,20
46,42
13,12
23,29
71,72
0,-2
20,17
16,11
46,48
86,93
96,95
100,96
73,71
17,27
71,68
7,7
85,84
36,33
50,47
80,82
29,19
82,83
20,17
48,46
10,12
45,46
13,11
81,77
35,34
100,107
1,-9
18,15
11,11
35,29
89,87
60,62
62,54
72,76
62,65
92,85
1,-3
24,24
85,74
74,73
33,37
94,90
42,51
64,68
96,90
6,7
73,74
61,54
21,14
53,52
25,24
62,61
88,90
41,37
83,87
17,21
74,76
39,41
34,36
29,29
27,27
84,88
90,96
72,75
20,22
80,63
78,84
53,48
8,10
83,86
22,16
89,90
94,92
52,45
85,82
0,6
80,89
2,1
50,52
66,63
30,31
47,48
97,92
33,30
47,45
95,100
85,84
66,68
58,58
18,21
61,57
65,65
55,50
65,71
69,72
66,67
43,35
42,43
70,68
75,75
22,32
16,16
47,43
67,63
33,33
4,5
72,73
6,11
92,88
6,5
83,83
7,8
42,37
14,19
16,10
42,42
